subject,modality,task,picture,accuracy,age,condition,Response Type
P01,spoken,priming,Picture 1,1,15.25,PrimeSpoken,S
P01,spoken,priming,Picture 2,1,15.25,PrimeSpoken,S
P01,spoken,priming,Picture 3,1,15.25,PrimeSpoken,S
P01,spoken,priming,Picture 4,1,15.25,PrimeSpoken,S
P01,spoken,priming,Picture 5,1,15.25,PrimeSpoken,S
P02,spoken,priming,Picture 1,1,15.75,PrimeSpoken,S
P02,spoken,priming,Picture 2,1,15.75,PrimeSpoken,S
P02,spoken,priming,Picture 3,1,15.75,PrimeSpoken,S
P02,spoken,priming,Picture 4,1,15.75,PrimeSpoken,S
P02,spoken,priming,Picture 5,1,15.75,PrimeSpoken,S
P03,spoken,priming,Picture 1,1,16.67,PrimeSpoken,S
P03,spoken,priming,Picture 2,1,16.67,PrimeSpoken,S
P03,spoken,priming,Picture 3,1,16.67,PrimeSpoken,S
P03,spoken,priming,Picture 4,1,16.67,PrimeSpoken,S
P03,spoken,priming,Picture 5,1,16.67,PrimeSpoken,S
P04,spoken,priming,Picture 1,1,16,PrimeSpoken,S
P04,spoken,priming,Picture 2,1,16,PrimeSpoken,S
P04,spoken,priming,Picture 3,1,16,PrimeSpoken,S
P04,spoken,priming,Picture 4,1,16,PrimeSpoken,S
P04,spoken,priming,Picture 5,1,16,PrimeSpoken,S
P05,spoken,priming,Picture 1,1,16.42,PrimeSpoken,S
P05,spoken,priming,Picture 2,1,16.42,PrimeSpoken,S
P05,spoken,priming,Picture 3,1,16.42,PrimeSpoken,S
P05,spoken,priming,Picture 4,1,16.42,PrimeSpoken,S
P05,spoken,priming,Picture 5,1,16.42,PrimeSpoken,S
P06,spoken,priming,Picture 1,0,16.33,PrimeSpoken,IF
P06,spoken,priming,Picture 2,0,16.33,PrimeSpoken,IF
P06,spoken,priming,Picture 3,0,16.33,PrimeSpoken,IF
P06,spoken,priming,Picture 4,1,16.33,PrimeSpoken,S
P06,spoken,priming,Picture 5,1,16.33,PrimeSpoken,S
P11,spoken,priming,Picture 1,0,17.92,PrimeSpoken,IF
P11,spoken,priming,Picture 2,0,17.92,PrimeSpoken,IF
P11,spoken,priming,Picture 3,1,17.92,PrimeSpoken,S
P11,spoken,priming,Picture 4,1,17.92,PrimeSpoken,S
P11,spoken,priming,Picture 5,1,17.92,PrimeSpoken,S
P12,spoken,priming,Picture 1,1,16.5,PrimeSpoken,S
P12,spoken,priming,Picture 2,1,16.5,PrimeSpoken,S
P12,spoken,priming,Picture 3,1,16.5,PrimeSpoken,S
P12,spoken,priming,Picture 4,1,16.5,PrimeSpoken,S
P12,spoken,priming,Picture 5,1,16.5,PrimeSpoken,S
P13,spoken,priming,Picture 1,1,17.25,PrimeSpoken,S
P13,spoken,priming,Picture 2,1,17.25,PrimeSpoken,S
P13,spoken,priming,Picture 3,1,17.25,PrimeSpoken,S
P13,spoken,priming,Picture 4,1,17.25,PrimeSpoken,S
P13,spoken,priming,Picture 5,0,17.25,PrimeSpoken,N
P14,spoken,priming,Picture 1,1,17.75,PrimeSpoken,S
P14,spoken,priming,Picture 2,0,17.75,PrimeSpoken,IF
P14,spoken,priming,Picture 3,1,17.75,PrimeSpoken,S
P14,spoken,priming,Picture 4,0,17.75,PrimeSpoken,IF
P14,spoken,priming,Picture 5,0,17.75,PrimeSpoken,IF
P16,spoken,priming,Picture 1,1,15.5,PrimeSpoken,S
P16,spoken,priming,Picture 2,1,15.5,PrimeSpoken,S
P16,spoken,priming,Picture 3,1,15.5,PrimeSpoken,S
P16,spoken,priming,Picture 4,1,15.5,PrimeSpoken,S
